id,default_code,name,is_storable,tracking,categ_id:id
product_template_60212,60212,ATC Fuse Assortment,TRUE,none,aak_product_data.product_category_components
product_template_60605,60605,Antenna Whip,TRUE,none,aak_product_data.product_category_components
product_template_60639,60639,SMA Female to BNC Female Adapter,TRUE,none,aak_product_data.product_category_components
product_template_60656,60656,"LAIRD Black chrome plated magnetic mt with 12 feet RG58A/U cable, no connector and black rubber boot to protect car surfaces.",TRUE,none,aak_product_data.product_category_components
product_template_60917,60917,"3/4"" Loom 100' Roll..",TRUE,none,aak_product_data.product_category_components
product_template_61036,61036,Belden 8214 RG8/U coax,TRUE,none,aak_product_data.product_category_components
product_template_61089,61089,"3/4in Straight Bracket, Chrome",TRUE,none,aak_product_data.product_category_components
product_template_61107,61107,Laird FG4700 unity gain fiberglass omnidirectional antenna operates in the 470…,TRUE,none,aak_product_data.product_category_components
product_template_61204,61204,UHF M  Connector,TRUE,none,aak_product_data.product_category_components
product_template_61291,61291,BNC F Bulkhead connector..,TRUE,none,aak_product_data.product_category_components
product_template_61583,61583,Mini ATM Fuse 15A,TRUE,none,aak_product_data.product_category_components
product_template_61600,61600,"Mini-UHF male connector for RG58/U, RG58A/U, RG141 and Ultralink cable.",TRUE,none,aak_product_data.product_category_components
product_template_62035,62035,Fuse Holder 10g - 10 Pack,TRUE,none,aak_product_data.product_category_components
product_template_62099,62099,Yagi Antenna,TRUE,none,aak_product_data.product_category_components
product_template_62305,62305,Mirror Mount Kit,TRUE,none,aak_product_data.product_category_components
product_template_62413,62413,TNC F to UHF,TRUE,none,aak_product_data.product_category_components
product_template_62446,62446,DB224-E Dipole Base Antenna,TRUE,none,aak_product_data.product_category_components
product_template_62759,62759,Cable Ties - 4 X 1/16,TRUE,none,aak_product_data.product_category_components
product_template_62952,62952,"POLYPHASER 10-1000 MHz general coverage bulkhead mnt. protector. 50,000 amps surge. 220uJ throughput energy.Powr based on freq. N male on equipment port.",TRUE,none,aak_product_data.product_category_components
product_template_62971,62971,450-470 MHz Unity Gain Ground Plan Antenna Folded Dipole Antenna,TRUE,none,aak_product_data.product_category_components
product_template_62984,62984,External Speaker,TRUE,none,aak_product_data.product_category_components
product_template_63302,63302,Mini ATM  Fuses 20amp..,TRUE,none,aak_product_data.product_category_components
product_template_63316,63316,450-470 No Ground Antenna,TRUE,none,aak_product_data.product_category_components
product_template_63434,63434,Power Supply Samlex SEC1212-SM,TRUE,none,aak_product_data.product_category_components
product_template_63454,63454,Velcro Loop..,TRUE,none,aak_product_data.product_category_components
product_template_63823,63823,"POLYPHASER Universal Grounding Kit. Fits coaxial/elliptical lines from 1/4"" to 2.0"". Includes weatherproofing. Joins copper cable to tower.",TRUE,none,aak_product_data.product_category_components
product_template_64365,64365,3db UHF Antenna..,TRUE,none,aak_product_data.product_category_components
product_template_64582,64582,"Antenna, Laird..",TRUE,none,aak_product_data.product_category_components
product_template_64760,64760,BNC Connector (10 Pack)..,TRUE,none,aak_product_data.product_category_components
product_template_65143,65143,DB408 Antenna..,TRUE,none,aak_product_data.product_category_components
product_template_65305,65305,Noise Filter,TRUE,none,aak_product_data.product_category_components
product_template_65724,65724,The Laird FM1 stainless steel U-bolt mounts are for mounting fiberglass base antennas. This light duty U-bolt will fit 1 to 1 7/8 inch diameter pipe. This antenna mount U-bolt includes only one U-bolt.,TRUE,none,aak_product_data.product_category_components
product_template_65782,65782,3DB 460-470 UHF Gain Antenna,TRUE,none,aak_product_data.product_category_components
product_template_65935,65935,Polyphaser,TRUE,none,aak_product_data.product_category_components
product_template_66028,66028,Black 1/4 Wave Antenna,TRUE,none,aak_product_data.product_category_components
product_template_66043,66043,Mag Mount,TRUE,none,aak_product_data.product_category_components
product_template_66392,66392,3 DB Antenna,TRUE,none,aak_product_data.product_category_components
product_template_66659,66659,Clamp,TRUE,none,aak_product_data.product_category_components
product_template_67065,67065,Connector,TRUE,none,aak_product_data.product_category_components
product_template_67184,67184,Polyphaser....,TRUE,none,aak_product_data.product_category_components
