id,component_id:id,product_id,quantity
product_components__component_list_2way_radio__78996,component_list_2way_radio,78996,1
product_components__component_list_2way_radio__76668,component_list_2way_radio,76668,1
product_components__component_list_2way_radio__63454,component_list_2way_radio,63454,1
product_components__component_list_2way_radio__83159,component_list_2way_radio,83159,1
product_components__component_list_2way_radio__88586,component_list_2way_radio,88586,1
product_components__component_list_2way_radio__83286,component_list_2way_radio,83286,1
product_components__component_list_2way_radio__62099,component_list_2way_radio,62099,1
product_components__component_list_2way_radio__99243,component_list_2way_radio,99243,1
product_components__component_list_2way_radio__57015,component_list_2way_radio,57015,1
product_components__component_list_2way_radio__22457,component_list_2way_radio,22457,1
