id,default_code,description,name,is_storable,tracking,categ_id:id
product_template_nx_3920gk,NX-3920GK,"800MHz, 15 Watts, 512 CH, 128 Zones, NXDN Conv & Trunking","800MHz, 15 Watts, 512 CH, 128 Zones, NXDN Conv & Trunking",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3921gk,NX-3921GK,"900MHz, 15 Watts, 512 CH, 128 Zones, NXDN Conv & Trunking","900MHz, 15 Watts, 512 CH, 128 Zones, NXDN Conv & Trunking",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_5200_isck2,NX-5200-ISCK2,"VHF (136-174MHz), 6.0 Watts  NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking ","VHF (136-174MHz), 6.0 Watts  NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking ",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_5200_isck3,NX-5200-ISCK3,"VHF (136-174MHz), 6.0 Watts  NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking ","VHF (136-174MHz), 6.0 Watts  NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking ",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_5200k2,NX-5200K2,"VHF (136-174MHz), 6.0 Watts  NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking ","VHF (136-174MHz), 6.0 Watts  NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking ",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_5200k3,NX-5200K3,"VHF (136-174MHz), 6.0 Watts  NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking ","VHF (136-174MHz), 6.0 Watts  NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking ",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_5300_isck2,NX-5300-ISCK2,"UHF (450-520MHz), 5.0 Watts   NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking ","UHF (450-520MHz), 5.0 Watts   NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking ",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_5300_isck3,NX-5300-ISCK3,"UHF (450-520MHz), 5.0 Watts  NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking ","UHF (450-520MHz), 5.0 Watts  NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking ",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_5300_isck5,NX-5300-ISCK5,"UHF (380-470MHz), 5.0 Watts  NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking ","UHF (380-470MHz), 5.0 Watts  NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking ",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_5300_isck6,NX-5300-ISCK6,"UHF (380-470MHz), 5.0 Watts  NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking ","UHF (380-470MHz), 5.0 Watts  NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking ",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_5300k2,NX-5300K2,"UHF (450-520MHz), 5.0 Watts   NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking ","UHF (450-520MHz), 5.0 Watts   NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking ",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
